protocolo,data_evento,data_registro,ano,municipio,cod_ibge,bacia,cobrade,tipo,status,mortos,feridos,desabrigados,desalojados,desaparecidos,danos_humanos_total,outros_afetados,casas_danificadas,casas_destruidas,danos_materiais_rs,prejuizos_rs
SC-A-4211306-12200-20031107,2003-11-07,2003-11-07,2003,Navegantes,4211306,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,184219.53,272324.53
SC-A-4219200-12200-20031211,2003-12-11,2003-12-11,2003,Vidal Ramos,4219200,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,4,0,0,6045524.46,11065186.39
SC-A-4202909-12200-20031215,2003-12-15,2003-12-15,2003,Brusque,4202909,mirim,12200,Enxurrada,Registro,0,0,0,57,0,57,0,17,0,1101312.44,0.0
SC-A-4201257-12200-20040914,2004-09-14,2004-09-14,2004,Apiúna,4201257,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,1,0,307137.14,171425.38
SC-A-4214805-12200-20041128,2004-11-28,2004-11-28,2004,Rio do Sul,4214805,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,1297833.0,41070.66
SC-A-4215109-12200-20050106,2005-01-06,2005-01-06,2005,Rodeio,4215109,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,10,0,1555918.81,617428.1
SC-N-4202404-12100-20050716,2005-07-16,2005-07-16,2005,Blumenau,4202404,acu,12100,Inundação,Registro,0,0,396,516,0,912,16828,0,0,0.0,0.0
SC-A-4219200-12200-20051116,2005-11-16,2005-11-16,2005,Vidal Ramos,4219200,mirim,12200,Enxurrada,Registro,0,0,10,5,0,15,3980,3,2,1689988.91,1701032.05
SC-A-4202701-12200-20070105,2007-01-05,2007-01-05,2007,Botuverá,4202701,mirim,12200,Enxurrada,Reconhecido,0,0,0,16,0,16,78,7,0,1402003.74,0.0
SC-A-4202701-12200-20070302,2007-03-02,2007-03-02,2007,Botuverá,4202701,mirim,12200,Enxurrada,Reconhecido,0,0,0,16,0,16,78,7,0,1063317.44,0.0
SC-A-4208500-12200-20070302,2007-03-02,2007-03-02,2007,Ituporanga,4208500,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,1,0,1807167.07,0.0
SC-A-4208500-12200-20071016,2007-10-16,2007-10-16,2007,Ituporanga,4208500,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,100,0,4611174.54,0.0
SC-A-4217808-12200-20080103,2008-01-03,2008-01-03,2008,Taió,4217808,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,60,0,665657.04,0.0
SC-A-4208500-12200-20080118,2008-01-18,2008-01-18,2008,Ituporanga,4208500,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,1246843.5,0.0
SC-A-4202909-12200-20080131,2008-01-31,2008-01-31,2008,Brusque,4202909,mirim,12200,Enxurrada,Registro,0,0,36,1945,0,1981,3668,468,5,3207860.46,251245.82
SC-A-4207106-12200-20080131,2008-01-31,2008-01-31,2008,Ilhota,4207106,acu,12200,Enxurrada,Registro,0,0,118,56,0,174,118,61,0,2154360.74,6796286.15
SC-A-4208203-12200-20080131,2008-01-31,2008-01-31,2008,Itajaí,4208203,ambos,12200,Enxurrada,Reconhecido,0,0,218,3800,0,4018,8300,15,0,7508495.86,2705946.39
SC-A-4211306-12200-20080131,2008-01-31,2008-01-31,2008,Navegantes,4211306,acu,12200,Enxurrada,Registro,0,0,8,136,0,144,12553,10,3,748539.28,983612.96
SC-A-4208203-12200-20080220,2008-02-20,2008-02-20,2008,Itajaí,4208203,ambos,12200,Enxurrada,Registro,0,0,0,25511,0,25511,0,6300,2,5198189.44,1573896.25
SC-A-4202206-12200-20081004,2008-10-04,2008-10-04,2008,Benedito Novo,4202206,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,148725.98,77972.84
SC-A-4209904-12200-20081110,2008-11-10,2008-11-10,2008,Lontras,4209904,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,2165912.27,5241507.69
SC-A-4202909-12200-20081121,2008-11-21,2008-11-21,2008,Brusque,4202909,mirim,12200,Enxurrada,Reconhecido,1,66,1200,8000,0,9267,94962,2226,370,43006931.57,4100793.89
SC-A-4211306-12200-20081121,2008-11-21,2008-11-21,2008,Navegantes,4211306,acu,12200,Enxurrada,Registro,0,6,651,4121,0,4940,41900,2030,0,61477253.81,9203596.56
SC-A-4201257-12200-20081122,2008-11-22,2008-11-22,2008,Apiúna,4201257,acu,12200,Enxurrada,Registro,0,0,0,6,0,6,10,0,2,1501699.17,9488139.67
SC-A-4201703-12200-20081122,2008-11-22,2008-11-22,2008,Ascurra,4201703,acu,12200,Enxurrada,Registro,1,31,0,110,0,142,2653,43,2,2581767.42,11743489.68
SC-A-4205902-12200-20081122,2008-11-22,2008-11-22,2008,Gaspar,4205902,acu,12200,Enxurrada,Registro,16,281,4305,7153,5,11760,8,8762,1238,776840.53,799979638.36
SC-A-4206306-12200-20081122,2008-11-22,2008-11-22,2008,Guabiruba,4206306,mirim,12200,Enxurrada,Registro,0,15,100,60,0,195,9860,300,15,37744631.12,14670445.76
SC-A-4207502-12200-20081122,2008-11-22,2008-11-22,2008,Indaial,4207502,acu,12200,Enxurrada,Registro,0,0,80,761,0,844,8572,38,12,33024386.32,3568845.84
SC-A-4218202-12200-20081122,2008-11-22,2008-11-22,2008,Timbó,4218202,acu,12200,Enxurrada,Registro,2,0,127,700,0,829,1200,130,12,4407631.47,7505665.74
SC-A-4202404-12200-20081123,2008-11-23,2008-11-23,2008,Blumenau,4202404,acu,12200,Enxurrada,Registro,24,2383,5209,25000,6,33102,103000,800,3990,1652928942.78,1605727750.95
SC-A-4202701-12200-20081123,2008-11-23,2008-11-23,2008,Botuverá,4202701,mirim,12200,Enxurrada,Registro,0,0,8,6,0,14,169,5,1,5328144.18,6815403.94
SC-A-4208203-12200-20081123,2008-11-23,2008-11-23,2008,Itajaí,4208203,ambos,12200,Enxurrada,Registro,5,1806,18208,1929,5,22235,100344,28438,141,1079349168.11,1205630516.77
SC-A-4213203-12200-20081123,2008-11-23,2008-11-23,2008,Pomerode,4213203,acu,12200,Enxurrada,Registro,3,157,200,1020,0,1380,28,202,150,35679794.76,27199526.26
SC-A-4207106-12200-20081124,2008-11-24,2008-11-24,2008,Ilhota,4207106,acu,12200,Enxurrada,Registro,26,67,1300,3500,18,4952,3500,406,583,157100836.5,150011083.67
SC-A-4214805-12200-20081124,2008-11-24,2008-11-24,2008,Rio do Sul,4214805,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,231030.64,12296605.92
SC-P-4215109-12200-20081124,2008-11-24,2008-11-24,2008,Rodeio,4215109,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4217808-12200-20090101,2009-01-01,2009-01-01,2009,Taió,4217808,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,1860400.96,1230501.42
SC-P-4218202-12200-20090112,2009-01-12,2009-01-12,2009,Timbó,4218202,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4202206-12200-20090219,2009-02-19,2009-02-19,2009,Benedito Novo,4202206,acu,12200,Enxurrada,Reconhecido,2,0,210,712,0,924,102,191,65,14305750.94,32406133.88
SC-P-4214805-12200-20090226,2009-02-26,2009-02-26,2009,Rio do Sul,4214805,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4211306-12200-20090424,2009-04-24,2009-04-24,2009,Navegantes,4211306,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4208203-12200-20090723,2009-07-23,2009-07-23,2009,Itajaí,4208203,ambos,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4207106-12200-20090731,2009-07-31,2009-07-31,2009,Ilhota,4207106,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4201703-12200-20090820,2009-08-20,2009-08-20,2009,Ascurra,4201703,acu,12200,Enxurrada,Reconhecido,0,0,0,17,0,17,1640,0,0,0.0,0.0
SC-P-4202206-12200-20090928,2009-09-28,2009-09-28,2009,Benedito Novo,4202206,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4208500-12200-20090928,2009-09-28,2009-09-28,2009,Ituporanga,4208500,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4209904-12200-20090928,2009-09-28,2009-09-28,2009,Lontras,4209904,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4214805-12200-20090928,2009-09-28,2009-09-28,2009,Rio do Sul,4214805,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4217808-12200-20090928,2009-09-28,2009-09-28,2009,Taió,4217808,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4205902-12200-20090929,2009-09-29,2009-09-29,2009,Gaspar,4205902,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-P-4211306-12200-20090929,2009-09-29,2009-09-29,2009,Navegantes,4211306,acu,12200,Enxurrada,Reconhecido,0,0,0,0,0,0,0,0,0,0.0,0.0
