id,inicio,fim,n_cidades,cidades,atinge_acu,atinge_mirim,tipos,desabrigados,desalojados,mortos,prejuizos_rs,protocolos
2020-12-15,2020-12-15,2020-12-20,6,"Apiúna, Ascurra, Brusque, Lontras, Rio do Sul, Vidal Ramos",True,True,"Chuvas intensas, Enxurrada",52,199,2,40115969.82,"SC-F-4202909-13214-20201215, SC-F-4201703-13214-20201215, SC-F-4201257-12200-20201216, SC-F-4214805-12200-20201216, SC-F-4201703-12200-20201217, SC-F-4219200-13214-20201216, SC-F-4209904-12200-20201216"
2021-01-21,2021-01-21,2021-01-29,8,"Ascurra, Benedito Novo, Blumenau, Brusque, Gaspar, Guabiruba, Rodeio, Timbó",True,True,"Chuvas intensas, Enxurrada",72,462,0,976075.81,"SC-F-4215109-13214-20210120, SC-F-4202206-12200-20210121, SC-F-4202909-13214-20210120, SC-F-4201703-12200-20210124, SC-F-4201703-13214-20210124, SC-F-4205902-13214-20210120, SC-F-4206306-13214-20210124, SC-F-4218202-13214-20210121, SC-F-4202404-13214-20210127"
2021-02-12,2021-02-12,2021-02-12,1,Ituporanga,True,False,Chuvas intensas,0,0,0,0.0,SC-F-4208500-13214-20210124
2021-03-08,2021-03-08,2021-03-08,1,Brusque,False,True,Chuvas intensas,0,4,0,239714.38,SC-F-4202909-13214-20210305
2021-06-09,2021-06-09,2021-06-11,2,"Brusque, Itajaí",True,True,Chuvas intensas,0,184,0,328969.16,"SC-F-4202909-13214-20210609, SC-F-4208203-13214-20210609"
2021-09-22,2021-09-22,2021-09-22,1,Rio do Sul,True,False,Enxurrada,0,0,0,0.0,SC-F-4214805-12200-20210917
2021-10-12,2021-10-12,2021-10-13,2,"Botuverá, Guabiruba",False,True,Chuvas intensas,5,30,0,21531.14,"SC-F-4206306-13214-20211012, SC-F-4202701-13214-20211012"
2021-12-02,2021-12-02,2021-12-02,1,Taió,True,False,Alagamento,0,0,0,0.0,SC-F-4217808-12300-20211018
2021-12-28,2021-12-28,2021-12-28,1,Rodeio,True,False,Chuvas intensas,0,0,0,0.0,SC-F-4215109-13214-20211227
2022-01-05,2022-01-05,2022-01-05,1,Brusque,False,True,Chuvas intensas,0,0,0,0.0,SC-F-4202909-13214-20220105
2022-01-16,2022-01-16,2022-01-16,1,Benedito Novo,True,False,Chuvas intensas,0,0,0,0.0,SC-F-4202206-13214-20220116
2022-01-27,2022-01-27,2022-01-27,1,Taió,True,False,Chuvas intensas,0,0,0,510502.74,SC-F-4217808-13214-20220127
2022-02-21,2022-02-21,2022-03-11,7,"Ascurra, Benedito Novo, Brusque, Gaspar, Indaial, Rio do Sul, Taió",True,True,"Alagamento, Chuvas intensas, Enxurrada",48,20,0,645785.97,"SC-F-4202909-13214-20220221, SC-F-4201703-13214-20220222, SC-F-4205902-13214-20220222, SC-F-4217808-12300-20220301, SC-F-4205902-13214-20220306, SC-F-4202206-13214-20220307, SC-F-4207502-12200-20220307, SC-F-4214805-12300-20220308, SC-F-4202909-13214-20220311"
2022-05-02,2022-05-02,2022-05-04,14,"Apiúna, Ascurra, Benedito Novo, Botuverá, Brusque, Gaspar, Indaial, Itajaí, Ituporanga, Lontras, Pomerode, Rio do Sul, Rodeio, Taió",True,True,"Alagamento, Chuvas intensas, Inundação",514,2693,0,62084090.28,"SC-F-4208500-12100-20220502, SC-F-4201703-13214-20220503, SC-F-4202909-13214-20220503, SC-F-4205902-13214-20220503, SC-F-4209904-12100-20220503, SC-F-4213203-13214-20220503, SC-F-4214805-12100-20220503, SC-F-4217808-12100-20220503, SC-F-4201257-12300-20220504, SC-F-4202206-12100-20220504, SC-F-4202701-13214-20220504, SC-F-4207502-12100-20220504, SC-F-4207502-13214-20220504, SC-F-4208203-13214-20220504, SC-F-4215109-13214-20220504"
2022-06-02,2022-06-02,2022-06-08,2,"Ascurra, Brusque",True,True,Chuvas intensas,0,0,0,117415.63,"SC-F-4202909-13214-20220602, SC-F-4201703-13214-20220608"
2022-06-22,2022-06-22,2022-06-22,2,"Ituporanga, Rio do Sul",True,False,Chuvas intensas,84,0,0,0.0,"SC-F-4208500-13214-20220622, SC-F-4214805-13214-20220622"
2022-08-08,2022-08-08,2022-08-10,6,"Benedito Novo, Brusque, Gaspar, Itajaí, Pomerode, Rodeio",True,True,Chuvas intensas,0,0,0,331826.79,"SC-F-4213203-13214-20220808, SC-F-4208203-13214-20220809, SC-F-4202206-13214-20220810, SC-F-4202909-13214-20220810, SC-F-4205902-13214-20220810, SC-F-4215109-13214-20220810"
2022-08-31,2022-08-31,2022-08-31,1,Apiúna,True,False,Chuvas intensas,19,22,0,78106.92,SC-F-4201257-13214-20220831
2022-10-10,2022-10-10,2022-10-16,3,"Brusque, Gaspar, Rio do Sul",True,True,"Chuvas intensas, Inundação",84,0,0,0.0,"SC-F-4214805-12100-20221010, SC-F-4202909-13214-20221016, SC-F-4205902-13214-20221016"
